True,Predicted,True_Label,Pred_Label
8,45,Complaint,Wisdom
42,11,Shame,Courage
34,18,Philosophy,Happiness
11,37,Courage,Responsibility
25,28,Longing,Melancholy
39,26,Sadness,Love
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
39,18,Sadness,Happiness
39,33,Sadness,Patriotism
17,10,Gratitude,Contentment
26,35,Love,Pride
12,28,Despair,Melancholy
39,31,Sadness,Nature
25,8,Longing,Complaint
25,28,Longing,Melancholy
39,31,Sadness,Nature
39,31,Sadness,Nature
39,31,Sadness,Nature
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
21,37,Humility,Responsibility
34,29,Philosophy,Mixed
25,28,Longing,Melancholy
25,28,Longing,Melancholy
4,17,Caution,Gratitude
25,22,Longing,Integrity
0,39,Anger,Sadness
7,35,Compassion,Pride
25,28,Longing,Melancholy
12,28,Despair,Melancholy
31,34,Nature,Philosophy
31,29,Nature,Mixed
34,39,Philosophy,Sadness
39,31,Sadness,Nature
28,25,Melancholy,Longing
39,34,Sadness,Philosophy
26,45,Love,Wisdom
5,19,Clarity,Honesty
25,22,Longing,Integrity
34,18,Philosophy,Happiness
31,29,Nature,Mixed
18,39,Happiness,Sadness
17,21,Gratitude,Humility
37,14,Responsibility,Duty
42,14,Shame,Duty
18,39,Happiness,Sadness
25,28,Longing,Melancholy
12,25,Despair,Longing
17,19,Gratitude,Honesty
39,31,Sadness,Nature
29,18,Mixed,Happiness
25,28,Longing,Melancholy
4,36,Caution,Respect
26,4,Love,Caution
31,33,Nature,Patriotism
25,28,Longing,Melancholy
28,25,Melancholy,Longing
37,8,Responsibility,Complaint
16,36,Generosity,Respect
0,39,Anger,Sadness
25,37,Longing,Responsibility
39,0,Sadness,Anger
25,12,Longing,Despair
25,28,Longing,Melancholy
25,10,Longing,Contentment
26,0,Love,Anger
25,22,Longing,Integrity
31,39,Nature,Sadness
39,34,Sadness,Philosophy
25,35,Longing,Pride
25,28,Longing,Melancholy
26,29,Love,Mixed
45,21,Wisdom,Humility
2,22,Calmness,Integrity
28,25,Melancholy,Longing
42,16,Shame,Generosity
39,31,Sadness,Nature
15,33,Fear,Patriotism
25,28,Longing,Melancholy
25,12,Longing,Despair
25,28,Longing,Melancholy
4,17,Caution,Gratitude
19,23,Honesty,Joy
18,39,Happiness,Sadness
19,36,Honesty,Respect
35,11,Pride,Courage
43,19,Skill,Honesty
39,33,Sadness,Patriotism
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
0,34,Anger,Philosophy
0,33,Anger,Patriotism
26,18,Love,Happiness
34,29,Philosophy,Mixed
25,17,Longing,Gratitude
29,34,Mixed,Philosophy
34,29,Philosophy,Mixed
15,18,Fear,Happiness
26,42,Love,Shame
36,24,Respect,Kindness
41,23,Self-Control,Joy
39,34,Sadness,Philosophy
26,6,Love,Commitment
13,39,Devotion,Sadness
25,16,Longing,Generosity
25,28,Longing,Melancholy
26,45,Love,Wisdom
26,33,Love,Patriotism
34,39,Philosophy,Sadness
29,18,Mixed,Happiness
39,34,Sadness,Philosophy
29,31,Mixed,Nature
25,28,Longing,Melancholy
19,23,Honesty,Joy
25,11,Longing,Courage
22,9,Integrity,Confidence
26,39,Love,Sadness
15,39,Fear,Sadness
26,30,Love,Modesty
21,36,Humility,Respect
39,34,Sadness,Philosophy
25,28,Longing,Melancholy
26,34,Love,Philosophy
14,45,Duty,Wisdom
10,9,Contentment,Confidence
37,9,Responsibility,Confidence
39,31,Sadness,Nature
25,28,Longing,Melancholy
25,42,Longing,Shame
20,38,Hospitality,Reverence
5,37,Clarity,Responsibility
37,3,Responsibility,Care
37,42,Responsibility,Shame
31,34,Nature,Philosophy
25,9,Longing,Confidence
39,29,Sadness,Mixed
15,18,Fear,Happiness
24,42,Kindness,Shame
22,36,Integrity,Respect
26,29,Love,Mixed
26,8,Love,Complaint
36,45,Respect,Wisdom
4,7,Caution,Compassion
35,45,Pride,Wisdom
39,34,Sadness,Philosophy
37,19,Responsibility,Honesty
15,31,Fear,Nature
13,28,Devotion,Melancholy
4,42,Caution,Shame
34,39,Philosophy,Sadness
34,33,Philosophy,Patriotism
33,0,Patriotism,Anger
25,22,Longing,Integrity
44,19,Sorrow,Honesty
39,34,Sadness,Philosophy
23,45,Joy,Wisdom
25,12,Longing,Despair
28,25,Melancholy,Longing
25,28,Longing,Melancholy
35,4,Pride,Caution
30,1,Modesty,Betrayal
31,33,Nature,Patriotism
45,4,Wisdom,Caution
25,28,Longing,Melancholy
15,18,Fear,Happiness
35,42,Pride,Shame
18,39,Happiness,Sadness
39,34,Sadness,Philosophy
25,28,Longing,Melancholy
39,31,Sadness,Nature
36,4,Respect,Caution
25,45,Longing,Wisdom
18,39,Happiness,Sadness
18,29,Happiness,Mixed
15,39,Fear,Sadness
17,9,Gratitude,Confidence
26,31,Love,Nature
25,28,Longing,Melancholy
18,34,Happiness,Philosophy
0,39,Anger,Sadness
42,37,Shame,Responsibility
26,29,Love,Mixed
9,23,Confidence,Joy
37,9,Responsibility,Confidence
39,31,Sadness,Nature
0,34,Anger,Philosophy
25,28,Longing,Melancholy
28,25,Melancholy,Longing
39,18,Sadness,Happiness
43,42,Skill,Shame
29,39,Mixed,Sadness
25,35,Longing,Pride
13,39,Devotion,Sadness
26,4,Love,Caution
29,39,Mixed,Sadness
13,29,Devotion,Mixed
25,28,Longing,Melancholy
25,28,Longing,Melancholy
33,34,Patriotism,Philosophy
13,39,Devotion,Sadness
26,39,Love,Sadness
25,19,Longing,Honesty
25,17,Longing,Gratitude
37,21,Responsibility,Humility
25,28,Longing,Melancholy
25,22,Longing,Integrity
33,31,Patriotism,Nature
42,41,Shame,Self-Control
36,16,Respect,Generosity
2,41,Calmness,Self-Control
25,28,Longing,Melancholy
32,10,Patience,Contentment
26,41,Love,Self-Control
11,45,Courage,Wisdom
39,33,Sadness,Patriotism
4,22,Caution,Integrity
39,18,Sadness,Happiness
25,41,Longing,Self-Control
15,14,Fear,Duty
26,4,Love,Caution
41,10,Self-Control,Contentment
41,37,Self-Control,Responsibility
39,34,Sadness,Philosophy
31,33,Nature,Patriotism
39,34,Sadness,Philosophy
26,42,Love,Shame
39,18,Sadness,Happiness
15,34,Fear,Philosophy
39,18,Sadness,Happiness
10,4,Contentment,Caution
0,34,Anger,Philosophy
26,29,Love,Mixed
26,45,Love,Wisdom
31,34,Nature,Philosophy
26,34,Love,Philosophy
