True,Pred,True_Label,Pred_Label
37,25,Responsibility,Longing
16,25,Generosity,Longing
8,26,Complaint,Love
42,25,Shame,Longing
34,39,Philosophy,Sadness
11,25,Courage,Longing
25,28,Longing,Melancholy
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
17,25,Gratitude,Longing
26,25,Love,Longing
12,28,Despair,Melancholy
25,28,Longing,Melancholy
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
21,25,Humility,Longing
34,39,Philosophy,Sadness
25,28,Longing,Melancholy
4,25,Caution,Longing
18,39,Happiness,Sadness
0,39,Anger,Sadness
7,25,Compassion,Longing
25,28,Longing,Melancholy
12,28,Despair,Melancholy
18,39,Happiness,Sadness
31,39,Nature,Sadness
31,39,Nature,Sadness
34,39,Philosophy,Sadness
28,25,Melancholy,Longing
26,25,Love,Longing
5,25,Clarity,Longing
34,39,Philosophy,Sadness
31,39,Nature,Sadness
18,39,Happiness,Sadness
17,25,Gratitude,Longing
37,25,Responsibility,Longing
42,25,Shame,Longing
18,39,Happiness,Sadness
25,28,Longing,Melancholy
12,25,Despair,Longing
17,25,Gratitude,Longing
29,39,Mixed,Sadness
25,28,Longing,Melancholy
4,25,Caution,Longing
26,25,Love,Longing
31,39,Nature,Sadness
37,25,Responsibility,Longing
28,25,Melancholy,Longing
37,25,Responsibility,Longing
16,25,Generosity,Longing
0,39,Anger,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
26,39,Love,Sadness
31,39,Nature,Sadness
25,28,Longing,Melancholy
26,39,Love,Sadness
45,25,Wisdom,Longing
2,25,Calmness,Longing
42,25,Shame,Longing
28,25,Melancholy,Longing
42,25,Shame,Longing
15,39,Fear,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
7,25,Compassion,Longing
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
4,25,Caution,Longing
15,39,Fear,Sadness
19,25,Honesty,Longing
31,39,Nature,Sadness
18,39,Happiness,Sadness
19,26,Honesty,Love
35,26,Pride,Love
43,26,Skill,Love
28,25,Melancholy,Longing
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
0,39,Anger,Sadness
0,39,Anger,Sadness
26,39,Love,Sadness
34,39,Philosophy,Sadness
29,39,Mixed,Sadness
37,25,Responsibility,Longing
45,25,Wisdom,Longing
34,39,Philosophy,Sadness
15,39,Fear,Sadness
26,25,Love,Longing
36,26,Respect,Love
41,25,Self-Control,Longing
26,25,Love,Longing
13,39,Devotion,Sadness
25,28,Longing,Melancholy
26,25,Love,Longing
26,39,Love,Sadness
0,39,Anger,Sadness
44,25,Sorrow,Longing
34,39,Philosophy,Sadness
29,39,Mixed,Sadness
29,39,Mixed,Sadness
25,28,Longing,Melancholy
19,25,Honesty,Longing
22,25,Integrity,Longing
18,39,Happiness,Sadness
9,25,Confidence,Longing
26,39,Love,Sadness
34,39,Philosophy,Sadness
15,39,Fear,Sadness
25,28,Longing,Melancholy
26,25,Love,Longing
21,25,Humility,Longing
25,28,Longing,Melancholy
26,39,Love,Sadness
14,26,Duty,Love
10,25,Contentment,Longing
42,25,Shame,Longing
25,28,Longing,Melancholy
37,25,Responsibility,Longing
25,28,Longing,Melancholy
4,26,Caution,Love
20,4,Hospitality,Caution
5,25,Clarity,Longing
37,25,Responsibility,Longing
23,25,Joy,Longing
37,25,Responsibility,Longing
31,39,Nature,Sadness
34,39,Philosophy,Sadness
25,26,Longing,Love
31,39,Nature,Sadness
15,39,Fear,Sadness
24,25,Kindness,Longing
22,25,Integrity,Longing
26,39,Love,Sadness
4,25,Caution,Longing
26,25,Love,Longing
36,25,Respect,Longing
4,25,Caution,Longing
35,25,Pride,Longing
37,4,Responsibility,Caution
15,39,Fear,Sadness
33,39,Patriotism,Sadness
13,28,Devotion,Melancholy
4,25,Caution,Longing
0,39,Anger,Sadness
34,39,Philosophy,Sadness
34,39,Philosophy,Sadness
33,39,Patriotism,Sadness
44,25,Sorrow,Longing
23,25,Joy,Longing
35,25,Pride,Longing
25,28,Longing,Melancholy
28,25,Melancholy,Longing
1,25,Betrayal,Longing
25,28,Longing,Melancholy
35,25,Pride,Longing
30,25,Modesty,Longing
31,39,Nature,Sadness
45,25,Wisdom,Longing
25,28,Longing,Melancholy
15,39,Fear,Sadness
35,26,Pride,Love
18,39,Happiness,Sadness
18,39,Happiness,Sadness
25,28,Longing,Melancholy
36,25,Respect,Longing
18,39,Happiness,Sadness
18,39,Happiness,Sadness
35,25,Pride,Longing
15,39,Fear,Sadness
17,25,Gratitude,Longing
26,39,Love,Sadness
23,26,Joy,Love
25,28,Longing,Melancholy
18,39,Happiness,Sadness
8,25,Complaint,Longing
0,39,Anger,Sadness
42,25,Shame,Longing
26,39,Love,Sadness
16,25,Generosity,Longing
9,25,Confidence,Longing
37,25,Responsibility,Longing
4,25,Caution,Longing
13,39,Devotion,Sadness
0,39,Anger,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
28,25,Melancholy,Longing
25,28,Longing,Melancholy
43,25,Skill,Longing
29,39,Mixed,Sadness
13,39,Devotion,Sadness
26,25,Love,Longing
29,39,Mixed,Sadness
13,39,Devotion,Sadness
25,28,Longing,Melancholy
28,25,Melancholy,Longing
42,25,Shame,Longing
25,28,Longing,Melancholy
33,39,Patriotism,Sadness
13,39,Devotion,Sadness
28,25,Melancholy,Longing
26,39,Love,Sadness
18,39,Happiness,Sadness
37,25,Responsibility,Longing
25,28,Longing,Melancholy
33,39,Patriotism,Sadness
42,25,Shame,Longing
36,25,Respect,Longing
2,25,Calmness,Longing
25,28,Longing,Melancholy
32,25,Patience,Longing
26,25,Love,Longing
11,25,Courage,Longing
34,39,Philosophy,Sadness
4,25,Caution,Longing
15,25,Fear,Longing
26,25,Love,Longing
41,25,Self-Control,Longing
41,25,Self-Control,Longing
31,39,Nature,Sadness
45,25,Wisdom,Longing
26,25,Love,Longing
15,39,Fear,Sadness
10,25,Contentment,Longing
18,39,Happiness,Sadness
18,39,Happiness,Sadness
0,39,Anger,Sadness
26,39,Love,Sadness
26,25,Love,Longing
31,39,Nature,Sadness
25,28,Longing,Melancholy
26,39,Love,Sadness
26,39,Love,Sadness
10,25,Contentment,Longing
25,28,Longing,Melancholy
15,39,Fear,Sadness
35,4,Pride,Caution
34,39,Philosophy,Sadness
19,25,Honesty,Longing
25,28,Longing,Melancholy
42,26,Shame,Love
23,25,Joy,Longing
7,25,Compassion,Longing
33,39,Patriotism,Sadness
4,25,Caution,Longing
38,25,Reverence,Longing
4,25,Caution,Longing
26,39,Love,Sadness
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
28,25,Melancholy,Longing
29,39,Mixed,Sadness
30,26,Modesty,Love
13,39,Devotion,Sadness
34,39,Philosophy,Sadness
34,39,Philosophy,Sadness
33,39,Patriotism,Sadness
25,28,Longing,Melancholy
45,25,Wisdom,Longing
8,25,Complaint,Longing
23,25,Joy,Longing
26,25,Love,Longing
3,25,Care,Longing
42,26,Shame,Love
25,28,Longing,Melancholy
0,25,Anger,Longing
26,25,Love,Longing
35,25,Pride,Longing
4,25,Caution,Longing
36,25,Respect,Longing
33,39,Patriotism,Sadness
0,39,Anger,Sadness
9,25,Confidence,Longing
15,25,Fear,Longing
31,39,Nature,Sadness
18,39,Happiness,Sadness
25,28,Longing,Melancholy
33,39,Patriotism,Sadness
15,25,Fear,Longing
28,25,Melancholy,Longing
3,25,Care,Longing
28,25,Melancholy,Longing
25,28,Longing,Melancholy
25,28,Longing,Melancholy
29,39,Mixed,Sadness
4,26,Caution,Love
24,26,Kindness,Love
25,28,Longing,Melancholy
24,26,Kindness,Love
34,39,Philosophy,Sadness
28,25,Melancholy,Longing
24,25,Kindness,Longing
34,39,Philosophy,Sadness
9,25,Confidence,Longing
33,39,Patriotism,Sadness
33,39,Patriotism,Sadness
0,39,Anger,Sadness
29,39,Mixed,Sadness
29,39,Mixed,Sadness
42,25,Shame,Longing
27,25,Loyalty,Longing
26,25,Love,Longing
25,28,Longing,Melancholy
4,25,Caution,Longing
42,25,Shame,Longing
36,26,Respect,Love
25,28,Longing,Melancholy
11,25,Courage,Longing
26,39,Love,Sadness
31,39,Nature,Sadness
12,28,Despair,Melancholy
45,25,Wisdom,Longing
4,25,Caution,Longing
25,28,Longing,Melancholy
7,26,Compassion,Love
25,28,Longing,Melancholy
25,28,Longing,Melancholy
29,39,Mixed,Sadness
31,39,Nature,Sadness
25,28,Longing,Melancholy
21,26,Humility,Love
34,39,Philosophy,Sadness
30,25,Modesty,Longing
34,39,Philosophy,Sadness
18,39,Happiness,Sadness
33,39,Patriotism,Sadness
18,39,Happiness,Sadness
12,28,Despair,Melancholy
34,39,Philosophy,Sadness
18,39,Happiness,Sadness
28,25,Melancholy,Longing
17,25,Gratitude,Longing
23,25,Joy,Longing
36,25,Respect,Longing
31,39,Nature,Sadness
42,25,Shame,Longing
35,25,Pride,Longing
26,25,Love,Longing
28,25,Melancholy,Longing
17,25,Gratitude,Longing
34,39,Philosophy,Sadness
45,26,Wisdom,Love
25,28,Longing,Melancholy
9,25,Confidence,Longing
4,26,Caution,Love
25,28,Longing,Melancholy
25,28,Longing,Melancholy
24,25,Kindness,Longing
26,25,Love,Longing
34,39,Philosophy,Sadness
11,25,Courage,Longing
42,26,Shame,Love
15,39,Fear,Sadness
0,39,Anger,Sadness
26,39,Love,Sadness
36,25,Respect,Longing
18,39,Happiness,Sadness
25,28,Longing,Melancholy
15,25,Fear,Longing
23,25,Joy,Longing
4,25,Caution,Longing
25,28,Longing,Melancholy
34,39,Philosophy,Sadness
15,39,Fear,Sadness
14,25,Duty,Longing
18,39,Happiness,Sadness
34,39,Philosophy,Sadness
4,26,Caution,Love
13,39,Devotion,Sadness
1,25,Betrayal,Longing
26,39,Love,Sadness
22,25,Integrity,Longing
36,25,Respect,Longing
13,39,Devotion,Sadness
35,25,Pride,Longing
26,39,Love,Sadness
8,25,Complaint,Longing
0,39,Anger,Sadness
4,25,Caution,Longing
18,39,Happiness,Sadness
17,25,Gratitude,Longing
31,39,Nature,Sadness
18,39,Happiness,Sadness
25,28,Longing,Melancholy
31,39,Nature,Sadness
29,39,Mixed,Sadness
18,39,Happiness,Sadness
31,39,Nature,Sadness
31,39,Nature,Sadness
27,25,Loyalty,Longing
15,39,Fear,Sadness
35,25,Pride,Longing
18,39,Happiness,Sadness
18,39,Happiness,Sadness
12,28,Despair,Melancholy
26,39,Love,Sadness
25,28,Longing,Melancholy
18,39,Happiness,Sadness
0,39,Anger,Sadness
25,28,Longing,Melancholy
12,28,Despair,Melancholy
41,4,Self-Control,Caution
33,39,Patriotism,Sadness
26,39,Love,Sadness
26,25,Love,Longing
34,39,Philosophy,Sadness
25,28,Longing,Melancholy
4,26,Caution,Love
40,25,Security,Longing
26,39,Love,Sadness
45,25,Wisdom,Longing
33,39,Patriotism,Sadness
18,39,Happiness,Sadness
34,39,Philosophy,Sadness
12,28,Despair,Melancholy
45,26,Wisdom,Love
26,39,Love,Sadness
31,39,Nature,Sadness
36,25,Respect,Longing
36,25,Respect,Longing
9,26,Confidence,Love
37,26,Responsibility,Love
33,39,Patriotism,Sadness
29,39,Mixed,Sadness
15,39,Fear,Sadness
18,39,Happiness,Sadness
15,39,Fear,Sadness
18,39,Happiness,Sadness
35,25,Pride,Longing
25,28,Longing,Melancholy
4,25,Caution,Longing
6,25,Commitment,Longing
15,25,Fear,Longing
0,39,Anger,Sadness
29,39,Mixed,Sadness
34,39,Philosophy,Sadness
11,25,Courage,Longing
33,39,Patriotism,Sadness
26,25,Love,Longing
13,28,Devotion,Melancholy
26,39,Love,Sadness
18,39,Happiness,Sadness
9,25,Confidence,Longing
18,39,Happiness,Sadness
33,39,Patriotism,Sadness
26,39,Love,Sadness
25,28,Longing,Melancholy
37,4,Responsibility,Caution
16,25,Generosity,Longing
6,25,Commitment,Longing
25,28,Longing,Melancholy
18,39,Happiness,Sadness
25,28,Longing,Melancholy
25,28,Longing,Melancholy
18,39,Happiness,Sadness
25,28,Longing,Melancholy
35,25,Pride,Longing
4,25,Caution,Longing
28,25,Melancholy,Longing
33,39,Patriotism,Sadness
16,25,Generosity,Longing
26,25,Love,Longing
25,28,Longing,Melancholy
36,25,Respect,Longing
12,28,Despair,Melancholy
32,25,Patience,Longing
31,39,Nature,Sadness
10,25,Contentment,Longing
23,25,Joy,Longing
26,39,Love,Sadness
25,28,Longing,Melancholy
10,25,Contentment,Longing
30,25,Modesty,Longing
26,25,Love,Longing
4,26,Caution,Love
